,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,offensive_rebounds,personal_fouls,steals,team,turnovers,Date
0,23,77,14,19,3,28,40,10,7,240,5,21,10,Team.MEMPHIS_GRIZZLIES,13,2015-12-13
1,18,77,23,22,1,28,37,19,7,240,7,15,9,Team.MIAMI_HEAT,10,2015-12-13
2,14,94,20,22,2,28,39,12,8,265,16,24,6,Team.UTAH_JAZZ,11,2015-12-13
3,18,79,30,21,13,34,35,27,7,265,8,18,7,Team.OKLAHOMA_CITY_THUNDER,10,2015-12-13
4,22,73,34,19,4,29,33,27,8,240,9,26,7,Team.MINNESOTA_TIMBERWOLVES,24,2015-12-13
5,28,87,24,30,8,26,39,20,10,240,12,26,16,Team.PHOENIX_SUNS,14,2015-12-13
6,18,84,14,28,9,37,28,10,10,240,15,20,1,Team.PHILADELPHIA_76ERS,22,2015-12-13
7,14,78,34,22,9,33,32,25,7,240,8,15,11,Team.TORONTO_RAPTORS,8,2015-12-13
