,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,offensive_rebounds,personal_fouls,steals,team,turnovers,Date
0,22,90,27,30,5,40,40,18,10,240,14,20,4,Team.PHILADELPHIA_76ERS,9,2018-03-01
1,23,87,23,32,6,35,36,16,9,240,10,21,4,Team.CLEVELAND_CAVALIERS,9,2018-03-01
2,29,79,26,29,5,30,47,21,16,240,6,17,9,Team.LOS_ANGELES_LAKERS,13,2018-03-01
3,23,95,16,31,5,26,46,12,9,240,14,21,6,Team.MIAMI_HEAT,11,2018-03-01
4,16,85,21,20,7,40,38,19,4,240,9,24,5,Team.MINNESOTA_TIMBERWOLVES,15,2018-03-01
5,17,92,35,30,6,36,36,27,9,240,12,18,9,Team.PORTLAND_TRAIL_BLAZERS,8,2018-03-01
6,27,96,17,46,4,35,40,14,17,265,16,14,10,Team.BROOKLYN_NETS,21,2018-03-01
7,23,97,12,14,6,33,50,10,6,265,11,13,15,Team.SACRAMENTO_KINGS,15,2018-03-01
