,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,offensive_rebounds,personal_fouls,steals,team,turnovers,Date
0,28,89,14,25,6,32,45,11,10,240,12,17,12,Team.CHICAGO_BULLS,10,2017-04-18
1,26,82,19,33,4,27,38,11,10,240,11,17,6,Team.BOSTON_CELTICS,16,2017-04-18
2,15,70,22,25,2,30,32,17,10,240,3,16,7,Team.UTAH_JAZZ,13,2017-04-18
3,26,84,8,20,4,31,44,5,6,240,8,23,7,Team.LOS_ANGELES_CLIPPERS,11,2017-04-18
4,20,87,19,23,4,28,36,17,11,240,12,16,6,Team.MILWAUKEE_BUCKS,11,2017-04-18
5,24,77,25,29,4,34,37,18,14,240,6,22,6,Team.TORONTO_RAPTORS,12,2017-04-18
