,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,offensive_rebounds,personal_fouls,steals,team,turnovers,Date
0,20,84,24,18,6,35,40,22,5,240,11,20,7,Team.NEW_YORK_KNICKS,9,2016-01-05
1,22,87,19,39,4,27,37,12,15,240,14,24,3,Team.ATLANTA_HAWKS,13,2016-01-05
2,28,102,14,16,3,26,46,8,6,240,17,19,9,Team.MILWAUKEE_BUCKS,10,2016-01-05
3,27,83,20,19,10,38,46,20,5,240,7,11,5,Team.CHICAGO_BULLS,15,2016-01-05
4,27,99,14,32,1,40,47,10,12,290,9,21,16,Team.SACRAMENTO_KINGS,19,2016-01-05
5,22,98,23,29,2,42,45,15,12,290,13,18,13,Team.DALLAS_MAVERICKS,17,2016-01-05
6,26,86,21,31,9,44,40,16,13,240,10,17,9,Team.GOLDEN_STATE_WARRIORS,10,2016-01-05
7,15,91,30,21,4,37,29,25,5,240,15,16,7,Team.LOS_ANGELES_LAKERS,12,2016-01-05
