,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,offensive_rebounds,personal_fouls,steals,team,turnovers,Date
0,20,92,16,21,9,31,43,11,6,240,13,19,7,Team.ORLANDO_MAGIC,10,2018-01-21
1,22,85,14,27,9,33,37,13,8,240,11,18,6,Team.BOSTON_CELTICS,15,2018-01-21
2,23,80,20,31,3,39,37,14,13,240,7,18,1,Team.BROOKLYN_NETS,15,2018-01-21
3,21,90,17,29,4,36,38,15,9,240,7,19,3,Team.DETROIT_PISTONS,6,2018-01-21
4,32,81,10,25,5,26,44,7,12,240,7,20,3,Team.NEW_YORK_KNICKS,17,2018-01-21
5,31,91,21,26,3,27,51,15,10,240,12,18,10,Team.LOS_ANGELES_LAKERS,6,2018-01-21
6,14,84,17,19,1,34,37,16,4,240,7,15,14,Team.INDIANA_PACERS,10,2018-01-21
7,24,82,12,34,10,36,35,7,9,240,10,14,8,Team.SAN_ANTONIO_SPURS,20,2018-01-21
